program
Bachelor of Science
bsc in computer science
Master of Computer Applications in Science and technology
Bachelor in Computer Science


General/Business/Science Courses
Biochemistry
Bachelor's Degree in BiologyChem / Computer Science
Management - Information Systems
Computer Science/Information Systems
Computer Science/Information Systems
Information Technology
BA Political Science
Associate's degree
Bachelor's Degree
B.A. in Computer Science
Bachelor's in Management in Finance

Master's in science
Master's in Science
Bachelor of Business Administration in Accounting
Bachelor of Science
Computer Science
Bachelor's in Computer Science and Business Management
High school or equivalent in Genaral Study
Bachelor of Science
Bachelor's in Computer Science
Associate in Information Technology
BSc in Science of Education

Bachelor of Science in Business Information Systems

Industrial Engineering
Bachelor's in Business Administration
Bachelor of Science in Computer Science
Bachelor of Engineering
Master's in Computer Integrated Manufacturing and Management in Computer Integrated Manufacturing and Management
Bachelor of Engineering in Engineering
Bachelor's in Information Technology
General Studies
High school or equivalent in General Studies

Bachelor of Business Administration in Business Administration
Diploma in Information Technology
ADMINISTRATION CERTIFICATION
BACHELOR OF INFORMATION TECHNOLOGY in INFORMATION TECHNOLOGY
BACHELOR OF ENGINEERING in COMPUTER SCIENCE & ENGINEERING
BSC in Information Systems and Cyber Security
Bachelor of Technology in Technology

Bachelor of Science in Economics
Associate of Arts in Early Childhood Development in Education and Certificates
Master of Library and Information Science in Library and Information Science
Bachelor of Science in Information Science and Technology
Bachelor of Arts in History
BS in Game art and design

BBA in Management Information Systems
Bachelors of Science in Global and Community Health


Master of Science in Information Systems Engineering & Management
Master of Science in Electrical Engineering
Bachelor's
Bachelor of Science in Computer Science
Bachelor in Computer Science
B.E in Computer Engineering
M.S.
B.E. in Electronics Engineering
BS in Information Sciences and Technology
Certificate in Information Assurance
Master in Information Technology
Bachelor of Health in Health Care Management
BBA in Business Administration and Information Systems
AD in Electric and Industrial Electronic Technician & Electrical Technician Assistant License
Bachelor's in Math and Computer Science
Bachelor of Technology in Technology
Bachelor of Health in Sciences
Master of Health Management Systems in Health Management Systems
B.S. in Psychology

Diploma

BS in Computer Science
B.Sc. in Computer Science
S.S.C. in Science

Associates Degree in Computer Application Specialist
Master of Computer Application in Computer Application
Bsc in Computer Science

MBA in Engineering Management
Master's in Business Administration & Finance
Master's in Business Administration
Bachelor's in electronic & telecommunication engineering
None in Outdoor Education
Associate in Liberal Arts
BACHELORS
Master of Science in Information Technology in database systems
Bachelor's in Mathematics
High School Diploma
Associate of Applied Science in Information Technology
Bachelor of Arts in History
Bachelor of Science in Atmospheric Physics

Master's in Business and Management
Master's in Leadership and Management
Bachelor of Science in Information Technologies in Cybersecurity
B.S
MS in Information Technology in Management
BS in Information Technology/Business Systems in Continuing
M.S in Database Administration
Graduate Certificate in Database Administration
BS in MIS
